pubid,question,context,long_answer,final_decision
26348845,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,"{'contexts': ['Rapid prescreening (RPS) is one of the quality assurance (QA) methods used in gynecologic cytology. The efficacy of RPS has been previously studied but mostly with respect to squamous lesions; in fact, there has been no study so far specifically looking at the sensitivity of RPS for detecting glandular cell abnormalities.', 'A total of 80,565 Papanicolaou (Pap) smears underwent RPS during a 25-month period. A sample was designated as ""review for abnormality"" (R) if any abnormal cells (at the threshold of atypical squamous cells of undetermined significance/atypical glandular cells [AGC]) were thought to be present or was designated as negative (N) if none were detected. Each sample then underwent full screening (FS) and was designated as either R or N and also given a cytologic interpretation.', 'The final cytologic interpretation was a glandular cell abnormality (≥AGC) in 107 samples (0.13%); 39 of these (36.4%) were flagged as R on RPS. Twenty-four patients (33.8%) out of 71 who had histologic follow-up were found to harbor a high-grade squamous intraepithelial lesion or carcinoma; 13 of those 24 Pap smears (54.2%) had been flagged as R on RPS. Notably, 11 AGC cases were picked up by RPS only and not by FS and represented false-negative cases; 2 of these showed endometrial adenocarcinoma on histologic follow-up.'], 'labels': ['BACKGROUND', 'METHODS', 'RESULTS'], 'meshes': ['Adenocarcinoma', 'Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Humans', 'Mass Screening', 'Middle Aged', 'Papanicolaou Test', 'Sensitivity and Specificity', 'Uterine Cervical Neoplasms', 'Vaginal Smears', 'Young Adult'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['y', 'e', 's']}","Pap smears with glandular cell abnormalities are often flagged as abnormal by RPS, and this results in a sensitivity of 36.4% (at the AGC threshold). Most importantly, some cases of AGC are detected on Pap smears by RPS only, and this demonstrates that RPS is a valuable QA method.",yes
10973547,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,"{'contexts': [""It is generally assumed, that patients with Werlhof's disease (WD) are at increased risk for bleeding complications when undergoing cardiac surgery with extracorporeal circulation. Therefore we performed this case control study to estimate the real risk for bleeding complications of these patients."", 'Between 05/95 and 07/98, ten patients with WD (eight males, two females) underwent cardiac surgery employing extracorporeal circulation (WD-group). Five of these patients with platelet counts below 80/nl were treated by immunoglobulins preoperatively. Each patient with WD was matched to five patients without WD (no-WD-group) using diagnosis, age, gender, ejection fraction, number of distal anastomosis and body-mass-index as matching criteria.', 'Mean number of platelet counts were significant lower in the WD-group than in the no-WD-group despite a significant increase of platelet counts after immunoglobulin treatment (54/nl-->112/nl, P=0.018). On the day before, directly after and on the first day after surgery they were 141/nl vs. 215/nl (P=0.012), 75/nl vs. 147/nl (P=0.001) and 93/nl vs. 136/nl (P=0.009). Accordingly, patients of the WD-group received significantly more platelet concentrates than patients of the no-WD-group (mean number of platelet concentrates: 2.3 versus 0.7, P=0.007). Total drainage loss via the mediastinal chest tubes was almost identical (1197 ml in the no-WD-group and 1140 ml in the WD-group). One patient of each group suffered from a bleeding complication requiring reexploration. Three patients of the no-WD-group (6%) and one patient of the WD-group (10%) expired postoperatively unrelated to WD.'], 'labels': ['BACKGROUND', 'METHODS', 'RESULTS'], 'meshes': ['Adult', 'Aged', 'Blood Loss, Surgical', 'Blood Transfusion', 'Cardiopulmonary Bypass', 'Coronary Artery Bypass', 'Coronary Disease', 'Female', 'Humans', 'Immunoglobulins', 'Male', 'Middle Aged', 'Platelet Count', 'Postoperative Hemorrhage', 'Prognosis', 'Purpura, Thrombocytopenic, Idiopathic', 'Retrospective Studies', 'Risk Factors', 'Splenectomy'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['n', 'o']}",Patients with WD may possibly undergo cardiac surgery without a markedly enhanced risk for bleeding complications despite a more than usual transfusion requirement and significantly lower platelet counts perioperatively.,no
26163474,Is there a connection between sublingual varices and hypertension?,"{'contexts': ['Sublingual varices have earlier been related to ageing, smoking and cardiovascular disease. The aim of this study was to investigate whether sublingual varices are related to presence of hypertension.', ""In an observational clinical study among 431 dental patients tongue status and blood pressure were documented. Digital photographs of the lateral borders of the tongue for grading of sublingual varices were taken, and blood pressure was measured. Those patients without previous diagnosis of hypertension and with a noted blood pressure ≥ 140 mmHg and/or ≥ 90 mmHg at the dental clinic performed complementary home blood pressure during one week. Those with an average home blood pressure ≥ 135 mmHg and/or ≥ 85 mmHg were referred to the primary health care centre, where three office blood pressure measurements were taken with one week intervals. Two independent blinded observers studied the photographs of the tongues. Each photograph was graded as none/few (grade 0) or medium/severe (grade 1) presence of sublingual varices. Pearson's Chi-square test, Student's t-test, and multiple regression analysis were applied. Power calculation stipulated a study population of 323 patients."", 'An association between sublingual varices and hypertension was found (OR = 2.25, p<0.002). Mean systolic blood pressure was 123 and 132 mmHg in patients with grade 0 and grade 1 sublingual varices, respectively (p<0.0001, CI 95 %). Mean diastolic blood pressure was 80 and 83 mmHg in patients with grade 0 and grade 1 sublingual varices, respectively (p<0.005, CI 95 %). Sublingual varices indicate hypertension with a positive predictive value of 0.5 and a negative predictive value of 0.80.'], 'labels': ['BACKGROUND', 'METHODS', 'RESULTS'], 'meshes': ['Adult', 'Aged', 'Angina Pectoris', 'Atrial Fibrillation', 'Blood Pressure', 'Female', 'Humans', 'Hypertension', 'Image Processing, Computer-Assisted', 'Male', 'Middle Aged', 'Myocardial Infarction', 'Myocardial Ischemia', 'Photography', 'Predictive Value of Tests', 'Sensitivity and Specificity', 'Smoking', 'Stroke', 'Tongue', 'Varicose Veins'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['y', 'e', 's']}","An association was found between sublingual varices and hypertension. Examining the lateral borders of the tongue is easily done, causes no harm and could be a valuable method for the dental profession to take active part in preventive healthcare.",yes
24374414,Does health information exchange reduce redundant imaging?,"{'contexts': [""Broad-based electronic health information exchange (HIE), in which patients' clinical data follow them between care delivery settings, is expected to produce large quality gains and cost savings. Although these benefits are assumed to result from reducing redundant care, there is limited supporting empirical evidence."", 'To evaluate whether HIE adoption is associated with decreases in repeat imaging in emergency departments (EDs).DATA SOURCE/', 'ED discharge data from the State Emergency Department Databases for California and Florida for 2007-2010 were merged with Health Information Management Systems Society data that report hospital HIE participation.', 'Using regression with ED fixed effects and trends, we performed a retrospective analysis of the impact of HIE participation on repeat imaging, comparing 37 EDs that initiated HIE participation during the study period to 410 EDs that did not participate in HIE during the same period. Within 3 common types of imaging tests [computed tomography (CT), ultrasound, and chest x-ray), we defined a repeat image for a given patient as the same study in the same body region performed within 30 days at unaffiliated EDs.', 'In our sample there were 20,139 repeat CTs (representing 14.7% of those cases with CT in the index visit), 13,060 repeat ultrasounds (20.7% of ultrasound cases), and 29,703 repeat chest x-rays (19.5% of x-ray cases). HIE was associated with reduced probability of repeat ED imaging in all 3 modalities: -8.7 percentage points for CT [95% confidence interval (CI): -14.7, -2.7], -9.1 percentage points for ultrasound (95% CI: -17.2, -1.1), and -13.0 percentage points for chest x-ray (95% CI: -18.3, -7.7), reflecting reductions of 44%-67% relative to sample means.'], 'labels': ['BACKGROUND', 'OBJECTIVE', 'STUDY SETTING', 'METHODS', 'RESULTS'], 'meshes': ['Adult', 'Age Factors', 'California', 'Continuity of Patient Care', 'Diagnostic Imaging', 'Electronic Health Records', 'Emergency Service, Hospital', 'Female', 'Florida', 'Humans', 'Male', 'Middle Aged', 'Retrospective Studies', 'Sex Factors', 'Socioeconomic Factors'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['y', 'e', 's']}",HIE was associated with reduced repeat imaging in EDs. This study is among the first to find empirical support for this anticipated benefit of HIE.,yes
18507507,The promise of specialty pharmaceuticals: are they worth the price?,"{'contexts': ['Specialty pharmaceuticals have evolved beyond their status as niche drugs designed to treat rare conditions and are now poised to become the standard of care in a wide variety of common chronic illnesses. Due in part to the cost of these therapies, payers are increasingly demanding evidence of their value. Determining the value of these medications is hampered by a lack of robust pharmacoeconomic data.', 'To outline emerging strategies and case study examples for the medical and pharmacy benefits management of specialty pharmaceuticals.', 'The promise of specialty pharmaceuticals: increased life expectancy, improved quality of life, enhanced workplace productivity, decreased burden of disease, and reduced health care spending comes at a significant cost. These agents require special handling, administration, patient education, clinical support, and risk mitigation. Additionally, specialty drugs require distribution systems that ensure appropriate patient selection and data collection. With the specialty pharmaceutical pipeline overflowing with new medicines and an aging population increasingly relying on these novel treatments to treat common diseases, the challenge of managing the costs associated with these agents can be daunting. Aided by sophisticated pharmacoeconomic models to assess value, the cost impacts of these specialty drugs can be appropriately controlled.'], 'labels': ['BACKGROUND', 'OBJECTIVE', 'SUMMARY'], 'meshes': ['Chronic Disease', 'Drug Costs', 'Humans', 'Managed Care Programs', 'Pharmaceutical Preparations', 'Rare Diseases', 'United States'], 'reasoning_required_pred': ['m', 'a', 'y', 'b', 'e'], 'reasoning_free_pred': ['y', 'e', 's']}","Current evidence suggests that when used in targeted patient populations, specialty pharmaceuticals may represent a good health care value.",yes
23495128,The colour of pain: can patients use colour to describe osteoarthritis pain?,"{'contexts': [""The aim of the present study was to explore patients' views on the acceptability and feasibility of using colour to describe osteoarthritis (OA) pain, and whether colour could be used to communicate pain to healthcare professionals."", 'Six group interviews were conducted with 17 patients with knee OA. Discussion topics included first impressions about using colour to describe pain, whether participants could associate their pain with colour, how colours related to changes to intensity and different pain qualities, and whether they could envisage using colour to describe pain to healthcare professionals.', 'The group interviews indicated that, although the idea of using colour was generally acceptable, it did not suit all participants as a way of describing their pain. The majority of participants chose red to describe high-intensity pain; the reasons given were because red symbolized inflammation, fire, anger and the stop signal in a traffic light system. Colours used to describe the absence of pain were chosen because of their association with positive emotional feelings, such as purity, calmness and happiness. A range of colours was chosen to represent changes in pain intensity. Aching pain was consistently identified as being associated with colours such as grey or black, whereas sharp pain was described using a wider selection of colours. The majority of participants thought that they would be able to use colour to describe their pain to healthcare professionals, although issues around the interpretability and standardization of colour were raised.'], 'labels': ['OBJECTIVE', 'METHODS', 'RESULTS'], 'meshes': ['Aged', 'Aged, 80 and over', 'Color', 'Communication', 'Feasibility Studies', 'Female', 'Humans', 'Interviews as Topic', 'Male', 'Middle Aged', 'Nurse-Patient Relations', 'Osteoarthritis, Knee', 'Pain Measurement', 'Physician-Patient Relations'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['y', 'e', 's']}","For some patients, using colour to describe their pain experience may be a useful tool to improve doctor-patient communication.",yes
17192736,Is fluoroscopy essential for retrieval of lower ureteric stones?,"{'contexts': ['The aim of this study was to assess the efficacy of ureteroscopy for lower ureteric stones without the use of fluoroscopy.', 'Between June 2001 and January 2005, a total of 110 patients with a mean age of 33.5 years (range 12-65) suffering from of lower ureteral calculi (below the upper margin of the sacroiliac joint) prospectively underwent ureteroscopic removal. Retrograde pyelography was avoided, and no safety guidewire was placed. Whenever required, the ureteric meatus was dilated with a ureteric balloon under direct vision. Double-J stent placement was done with the aid of ureteroscopy. A fluoroscope was kept standby. The patients had a postoperative X-ray of the kidney-ureter-bladder region to document the stone clearance.', 'The mean stone size was 8.7 mm (range 6-15). Complete clearance without the use of fluoroscopy was achieved in 99 patients (94.2%). Fluoroscopy was required in 6 patients (4%) for calcified stricture (n = 1), duplex system (n = 1), narrow and tortuous meatus causing difficulty in passing the 5-Fr balloon dilator (n = 3), and confirmation of spontaneous passage of the stone (n = 1). Of the 13 patients who required balloon dilatation it was successfully achieved without fluoroscopy. Double-J stenting was done due to mucosal ulceration (n = 3), polypoid reaction (n = 2), and perforation (n = 1). All these patients had correct placement of the stent, as confirmed by X-ray of the kidney-ureter-bladder region postoperatively.'], 'labels': ['INTRODUCTION', 'PATIENTS AND METHODS', 'RESULTS'], 'meshes': ['Adolescent', 'Adult', 'Aged', 'Child', 'Contraindications', 'Fluoroscopy', 'Follow-Up Studies', 'Humans', 'Middle Aged', 'Prosthesis Implantation', 'Retrospective Studies', 'Stents', 'Treatment Outcome', 'Ureteral Calculi', 'Ureteroscopy'], 'reasoning_required_pred': ['n', 'o'], 'reasoning_free_pred': ['n', 'o']}","To uphold the notion for radiation exposure to be as low as reasonably achievable, ureteroscopic stone retrieval can safely be done without the use of fluoroscopy in a significant number of patients.",no
12163782,Increased neutrophil migratory activity after major trauma: a factor in the etiology of acute respiratory distress syndrome?,"{'contexts': ['Neutrophil infiltration of the lung is characteristic of early posttraumatic acute respiratory distress syndrome (ARDS). This study examines the ability of neutrophils isolated (over the first 24 hrs) from the peripheral blood of patients admitted after major trauma to migrate in response to interleukin-8. Interleukin-8 is elevated in the lung within 2 hrs of major trauma in patients who later develop ARDS, and thus it plays a central role in the recruitment of neutrophils to the lung and their subsequent activation. We hypothesized that enhanced interleukin-8-mediated neutrophil migratory activity in the early postinjury phase, before the development of ARDS, may be a crucial factor in the etiology of ARDS.', 'Prospective observational study.', 'University Hospital Wales, the Royal Gwent Hospital, and East Glamorgan General Hospital. Laboratory work was conducted at the Institute of Nephrology.', 'Adult blunt trauma victims with Injury Severity Score>or = 18.', ""Neutrophils were isolated from citrated blood from 17 adult blunt major trauma patients at admission (0 hrs) and 8 and 24 hrs later. Identical samples were obtained from normal laboratory volunteers (n = 9). The neutrophil count in each specimen was measured, and the number of neutrophils migrating across porous tissue culture inserts in response to defined concentrations of interleukin-8 (0, 10, 30, and 100 ng/mL) was quantitated by peroxidase assay. Neutrophil counts in the whole blood specimens obtained from those later developing ARDS were elevated significantly at admission and declined rapidly throughout the next 24 hrs. Significantly greater numbers of trauma patients' neutrophils migrated to concentrations of interleukin-8 (30 and 100 ng/mL) at each time point when compared with normal volunteers (Mann-Whitney U test, p<.05). Neutrophils isolated from major trauma patients exhibited an enhanced migratory response to high concentrations of interleukin-8 throughout the first 24 hrs of admission, in contrast to the normal physiologic attenuation of migration seen in neutrophils isolated from normal laboratory volunteers.""], 'labels': ['OBJECTIVE', 'DESIGN', 'SETTING', 'PATIENTS', 'MEASUREMENTS AND MAIN RESULTS'], 'meshes': ['Acute Disease', 'Adult', 'Cell Movement', 'Humans', 'Interleukin-8', 'Leukocyte Count', 'Neutrophil Infiltration', 'Neutrophils', 'Prospective Studies', 'Respiratory Distress Syndrome, Adult', 'Risk Factors', 'Time Factors', 'Trauma Severity Indices', 'Wales', 'Wounds, Nonpenetrating'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['y', 'e', 's']}","These data indicate that major blunt trauma enhances the migratory capacity of circulating neutrophils. This is manifest within 2 hrs of admission and may be attributable to alteration in interleukin-8 receptor expression, affinity, or downstream signaling. In patients who later develop ARDS, initially elevated circulating neutrophil counts decrease rapidly, over the same time course. Early enhanced neutrophil migratory activity coupled with elevated pulmonary concentrations of interleukin-8 may be central to the establishment of the neutrophil infiltration that is characteristic of ARDS.",yes
9582182,Does the SCL 90-R obsessive-compulsive dimension identify cognitive impairments?,"{'contexts': ['To investigate the relevance of the Symptom Checklist 90-R Obsessive-Compulsive subscale to cognition in individuals with brain tumor.', 'A prospective study of patients assessed with a neuropsychological test battery.', 'A university medical center.', 'Nineteen adults with biopsy-confirmed diagnoses of malignant brain tumors were assessed prior to aggressive chemotherapy.', 'Included in the assessment were the Mattis Dementia Rating Scale, California Verbal Learning Test, Trail Making Test B, Symptom Checklist 90-R, Mood Assessment Scale, Beck Anxiety Inventory, and Chronic Illness Problem Inventory.', 'The SCL 90-R Obsessive-Compulsive subscale was not related to objective measures of attention, verbal memory, or age. It was related significantly to symptoms of depression (r = .81, P<.005), anxiety (r = .66, P<.005), and subjective complaints of memory problems (r = .75, P<.005). Multivariate analyses indicated that reported symptoms of depression contributed 66% of the variance in predicting SCL 90-R Obsessive-Compulsive Scores, whereas symptoms of anxiety contributed an additional 6% (P<.0001).'], 'labels': ['OBJECTIVE', 'DESIGN', 'SETTING', 'PATIENTS', 'MAIN OUTCOME MEASURES', 'RESULTS'], 'meshes': ['Adult', 'Aged', 'Brain Neoplasms', 'Cognition Disorders', 'Female', 'Humans', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Neuropsychological Tests', 'Obsessive-Compulsive Disorder', 'Personality Assessment', 'Predictive Value of Tests', 'Prospective Studies', 'Sensitivity and Specificity'], 'reasoning_required_pred': ['n', 'o'], 'reasoning_free_pred': ['y', 'e', 's']}",Our data suggest that the SCL 90-R is best viewed as an indicator of unidimensional emotional distress and somatic effects of structural brain injury.,yes
25588461,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,"{'contexts': ['Disorders of consciousness (DOC) diagnosis relies on the presence or absence of purposeful motor responsiveness, which characterizes the minimally conscious state (MCS) and the unresponsive wakefulness syndrome (UWS), respectively. Functional neuroimaging studies have raised the question of possible residual conscious awareness also in clinically-defined UWS patients. The aim of our study was to identify electrophysiological parameters, by means of a transcranial magnetic stimulation approach, which might potentially express the presence of residual networks sustaining fragmentary behavioral patterns, even when no conscious behavior can be observed.', 'We enrolled 25 severe DOC patients, following post-anoxic or traumatic brain injury and 20 healthy individuals (HC) as control group. Baseline electrophysiological evaluation evidenced, in comparison to HC, a partial preservation of cortical effective connectivity and excitability in clinically defined MCS, whereas these components were absent in clinically defined UWS. Then, we applied an anodal transcranial direct current stimulation (a-tDCS) protocol over the orbitofrontal cortex.', 'a-tDCS was able to boost cortical connectivity and excitability in all HC, MCS, and to unmask such excitability/connectivity in some UWS patients.'], 'labels': ['PURPOSE', 'METHODS', 'RESULT'], 'meshes': ['Adult', 'Aged', 'Consciousness Disorders', 'Diagnosis, Differential', 'Female', 'Humans', 'Male', 'Middle Aged', 'Neural Pathways', 'Persistent Vegetative State', 'Prefrontal Cortex', 'Transcranial Direct Current Stimulation'], 'reasoning_required_pred': ['y', 'e', 's'], 'reasoning_free_pred': ['y', 'e', 's']}","a-tDCS could be useful in identifying residual connectivity markers in clinically-defined UWS, who may lack of purposeful behavior as a result of a motor-output failure.",yes
